1M NTC Thermistor Accuracy Temperature Sensor 10K 1% 3950 Waterproof Probe

Features
  Measurement range: -20 Celsius ~ 105 Celsius
  Length of wire: 1 meter
  Size of probe: 5 x 30 mm
  Type: NTC 10K±1% 3950
  Typical Dissipation Constant: 5mW/Celsius
  Probe insulation resistance: >100MOhm
  Peak Voltage sustain time: 2 seconds, AC1800V 1mA 2 seconds


3950 10K Temperature resistance correspond

℃,Rmin(KΩ),Rnom(KΩ),Rmax(KΩ)
-40,265.485,277.2251,289.456
-39,252.542,263.5767,275.066
-38,239.727,250.0702,260.834
-37,227.157,236.8296,246.889
-36,214.926,223.9522,233.334
-35,203.104,211.5129,220.248
-34,191.744,199.5661,207.687
-33,180.881,188.1489,195.690
-32,170.537,177.2844,184.280
-31,160.724,166.9829,173.468
-30,151.443,157.2459,163.255
-29,142.688,148.0666,153.632
-28,134.448,139.4321,144.587
-27,126.707,131.3254,136.099
-26,119.446,123.7257,128.146
-25,112.643,116.6103,120.705
-24,106.277,109.9548,113.749
-23,100.322,103.7340,107.251
-22,94.757,97.9228,101.185
-21,89.556,92.4959,95.522
-20,84.698,87.4288,90.239
-19,80.246,82.7877,85.402
-18,76.071,78.4386,80.872
-17,72.153,74.3586,76.624
-16,68.471,70.5269,72.637
-15,65.008,66.9248,68.891
-14,61.748,63.5354,65.368
-13,58.676,60.3432,62.052
-12,55.778,57.3341,58.928
-11,53.043,54.4954,55.982
-10,50.460,51.8154,53.202
-9,48.018,49.2833,50.576
-8,45.709,46.8895,48.096
-7,43.523,44.6248,45.750
-6,41.452,42.4810,43.531
-5,39.490,40.4505,41.430
-4,37.630,38.5264,39.440
-3,35.866,36.7020,37.554
-2,34.191,34.9714,35.766
-1,32.601,33.3292,34.070
0,31.091,31.7700,32.461
1,29.621,30.2534,30.896
2,28.227,28.8159,29.414
3,26.905,27.4531,28.009
4,25.651,26.1608,26.678
5,24.461,24.9350,25.416
6,23.331,23.7720,24.219
7,22.259,22.6684,23.083
8,21.240,21.6209,22.006
9,20.273,20.6263,20.984
10,19.354,19.6819,20.014
11,18.480,18.7848,19.093
12,17.650,17.9326,18.218
13,16.861,17.1227,17.387
14,16.110,16.3530,16.598
15,15.396,15.6212,15.848
16,14.717,14.9254,15.135
17,14.071,14.2637,14.458
18,13.456,13.6342,13.813
19,12.871,13.0353,13.201
20,12.314,12.4654,12.618
21,11.783,11.9229,12.063
22,11.277,11.4064,11.536
23,10.796,10.9146,11.033
24,10.337,10.4462,10.555
25,9.900,10.0000,10.100
26,9.475,9.5749,9.675
27,9.070,9.1697,9.269
28,8.684,8.7836,8.883
29,8.317,8.4155,8.514
30,7.967,8.0644,8.163
31,7.633,7.7297,7.827
32,7.314,7.4103,7.507
33,7.011,7.1057,7.201
34,6.721,6.8149,6.909
35,6.445,6.5375,6.631
36,6.181,6.2726,6.365
37,5.929,6.0197,6.111
38,5.689,5.7782,5.868
39,5.460,5.5475,5.636
40,5.241,5.3271,5.414
41,5.032,5.1165,5.202
42,4.832,4.9153,5.000
43,4.641,4.7229,4.806
44,4.458,4.5390,4.621
45,4.284,4.3632,4.444
46,4.117,4.1950,4.274
47,3.958,4.0341,4.112
48,3.805,3.8802,3.956
49,3.659,3.7330,3.808
50,3.520,3.5920,3.665
51,3.386,3.4571,3.529
52,3.259,3.3279,3.398
53,3.136,3.2042,3.273
54,3.019,3.0857,3.153
55,2.907,2.9722,3.039
56,2.800,2.8634,2.928
57,2.697,2.7592,2.823
58,2.598,2.6593,2.722
59,2.504,2.5636,2.625
60,2.413,2.4718,2.532
61,2.326,2.3837,2.442
62,2.243,2.2993,2.357
63,2.163,2.2183,2.274
64,2.087,2.1405,2.195
65,2.013,2.0659,2.120
66,1.943,1.9943,2.047
67,1.875,1.9256,1.977
68,1.810,1.8596,1.910
69,1.748,1.7962,1.846
70,1.688,1.7353,1.784
71,1.631,1.6768,1.724
72,1.575,1.6206,1.667
73,1.522,1.5666,1.612
74,1.472,1.5147,1.559
75,1.423,1.4648,1.508
76,1.375,1.4168,1.459
77,1.330,1.3707,1.412
78,1.287,1.3263,1.367
79,1.245,1.2836,1.323
80,1.205,1.2425,1.281
81,1.166,1.2030,1.241
82,1.129,1.1649,1.202
83,1.093,1.1283,1.165
84,1.058,1.0930,1.129
85,1.025,1.0590,1.094
